DescricaoExemplo;CodigoCorreto
nacional dental ulisses;506
CONTABILIDADE|0158 CONTABILIDADE MAYPER;726
INSUMOS NEODENT STRAUMANN;506
INSUMOS NOTA ;506
NEODENT;506
INSUMOS NOTA 000383391|0086 NEODENT STRAUMANN;506
COMPRA DE P√O PARA COLABORADORES;535
COMPRA DE P√O ;535
PP TRIGO INDUSTRIA E COMERCIO;535
P√O;535
Estorno C.Receber/Cliente 03/02/25 FERNANDO DUTRA LUCIANO;504
SACOPLAST LTDA| MATERIAL LAB. DIVERSOS;738
CARTAO SICOOB| MERCADO LIVRE COMPRA DIA 14/10 (IDENTIFICAR);534
Pgto de SERVI«OS(s) realizado(s) | Cliente: MATHEUS LUIS SOARES DE FARIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: CRISTIANE JUNQUEIRA DE SOUZA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: TATHIANE GUIMARAES DE OLIVEIRA (DIVINO;504
DENTAL TIRADENTES| INSUMOS;506
SCANNER MEDIT |0232 SCANNER MEDIT SIN;506
URGETEC -CONSUTORIA E TREINAMENTO| URGETEC;531
URGETEC -CONSUTORIA E TREINAMENTO;531
URGETEC;531
CONSULTORIA;726
CONSULTORIA K2GO;726
FRESADORA LOCACAO|0160 TALMAX;570
ZANONI DL| antecipaÁ„oO DL ZANONI;548
antecipaÁ„o DL ;548
Pgto de SERVI«OS(s) realizado(s) | Cliente: Daniel Freire de Arruda;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Andr√© Pessoa Bezerra de Menezes;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: M√°rio Herc√≠lio de Oliveira Rodrigues;504
Func: Jonathan Lopes de Sena;187
Func: Emanuel Martins de Azev√™do Barbosa;187
Func: Rita de Cassia Freire Barbosa;187
Pgto de SERVI«OS(s) realizado(s) | Cliente: FERNANDO DUTRA LUCIANO;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: L√ÅZARA DAUREA FROES TAVARES;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: VENETO ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: ANDRE AZEVEDO NEVES;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: RAFAELLA MENDES (MEM ODONTOLOGIA );504
Pgto de SERVI«OS(s) realizado(s) | Cliente: SALITTE ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: PRIMAR ODONTOLOGIA( CRISTIANE JUNQUEIRA);504
Pgto de SERVI«OS(s) realizado(s) | Cliente: TRATAR ODONTOLOGIAAA EPECIALIZADA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: ARMOND ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: GISELE MOREIRA SIMM (IT SOLUT);504
Pgto de SERVI«OS(s) realizado(s) | Cliente: ORO ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: VIRTUS ODONTOLOGIA Crislayne Prates;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: AVANTI CL√çNICA ODONTOL√ìGICA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: SOURINE BLANC ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: BRYAN FONSECA (ORAL UNIC ODONTOLOGIA DIV;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: LUMER SARZEDO + Sorrisos cl√≠nica;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: KARLA BEATRIZ ARRUDA SILVEIRA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: CLINICA ODONTOLOGIA ODONTOBARRETO;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: MANOELA PETERMANN FIGUEIREDO;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: LORENA MOREIRA FONSECA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: EDSON XAVIER;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: PRADO ODONTOLOGIA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: BRUNA MARTINS GALDINO DIAMANTINO;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: JUSSARA ALVES AGUIAR LIBRELON;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: ANDREZA MOREIRA PINTO;504
Func:;187
Funcion·rio;187
Pgto de SERVI«OS(s) realizado(s) | Cliente: Alfredo Bezerra Pinheiro Neto;504
DIVERSOS| PACOTE DE SERVI«OS;738
Pgto de SERVI«OS(s) realizado(s) | Cliente: DANIELA PEDRO DE ALMEIDA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Andreza Maria Rodrigues Rocha Virginio;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Stefano Gavazzi;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Erasmo Lira Cavalcanti Filho;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Augusto C√©sar C√¢mara;504
SALA 1202|0210 EVOLUA;740
SALA ;740
ALMO«O DO WILIAM SAB. 15/03;535
COMPONENTES;506
INSUMOS|0160 TALMAX;506
JJGC;506
Pgto de SERVI«OS(s) realizado(s) | Cliente: VANESSA CRISTINA PEREIRA LUCAS FERREIRA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: BARBARA CRISTINA LOPES;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: SMART ODONTO BETIM LTDA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: ELIODONTO BOM PASTOR LTDA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: CLINICA ELEVATA LTDA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: SONHAR ODONTOLOGIA LTDA;504
CONDOMINIO| MENSAL;740
Pgto de SERVI«OS(s) realizado(s) | Cliente: VICTOR VENEROSO FIGUEIREDO PINTO;504
DIVERSOS| TARIFA RENO«√O LIMITE CONTA GARANTIDA;374
Pgto de SERVI«OS(s) realizado(s) | Cliente: Carlos Renato de Carvalho;504
TARIFA ;374
Transf. |Origem:SICOOB-Destino:ALEX CONTA PESSOAL PAG CLIENTE PARTICULAR ALEX;1
TALMAX| Brocas - NF 000095621;506
Pgto de SERVI«OS(s) realizado(s) | Cliente: BRUNO FARIA (IT SOLUTION);504
BROCAS;506
Pgto de SERVI«OS(s) realizado(s) | Cliente: LUMER IGARAPE(PALHARES E MARQUES);504
Pgto de SERVI«OS(s) realizado(s) | Cliente: CLIENTE NAO IDENTIFICADO TRANSFERENCIA;504
DISCO DE ZIRCONIA FIT PLUS |0087 DENTAL CREMMER;506
SAL¡RIO;187
VAGNER BOY| SAL¡RIO;187
PAULO HENRIQUE| SAL√ÅRIO;187
PEDRO|SAL¡RIO;187
Pgto de SERVI«OS(s) realizado(s) | Cliente: CLINICA ODONTOLOGICA MARQUES LTDA;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: INFINITA ODONTOLOGIA LTDA(DRA RENATA);504
Pgto de SERVI«OS(s) realizado(s) | Cliente: Thiago Barreto Carvalho ME;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: MARCELO SALES ZANFORLIM DIAS;504
SILICONE ZETALABOR / GESSO ESPECIAL FUJI ROCK PASTEL|0010 DENTAL FREE COMERCIO DE MATERIAI;506
Pgto de SERVI«OS(s) realizado(s) | Cliente: ANTONIO DIAS NETO;504
Pgto de SERVI«OS(s) realizado(s) | Cliente: MARCELA B DA SILVA;504
SCANER TRIOS|0087 DENTAL CREMMER;506
0087 DENTAL CREMMER;506
GUILHERME SILVA| COMB. GUILHERME;738
Transf. |Origem:SICOOB-Destino:CONTA GERENCIAL FOLHA DE PAGAMENTO;1
DESLOCAMENTO WILIAM;716
DESLOCAMENTO;716
WILIAM MARTINS FIUZA FILHO| LOCOMO«√O WILIAM;716
DIVERSOS| CAIXINHAS EMBALAGEM;715
PROLABORE |0042 ZANONI PROLABORE;188
SUPERMERCADOS |0151 SUPER NOSSO BELO HORIZONTE;535
SUPERMERCADOS;535
CRC LIGACOES| CRC ELISE;707
DIVERSOS| RONAN LOGISTICA;714
DIVERSOS| ALCOOL ISOPROPILICO;506
KLEITON| MOTOBOY;714
LOGISTICA RONAN|0023 DIVERSOS;714
SUPERMERCADO|0151 SUPER NOSSO BELO HORIZONTE;535
IPONTO| IPONTO;738
MPOODONTO | Brocas pedras md , mv;506
RECARGA CELULAR| RECARGA CELULAR TALITA;356
DIVERSOS| PEGAGIO DIVINOPOLIS;722
DIVERSOS| ESTACIONAMENTO VIAGEM;722
CDL| MENSAL;714
PROLABORE PROLABORE;188
FOLHAS RECORTE GRAFICA|0023 DIVERSOS;359
LOGISTICA RONAN|0023 DIVERSOS;722
DROGARIA ARAUJO BELO HORIZONTE| DROGARIA;736
DIVERSOS| RESERVAS CADEIRA EVENTO;736
DIVERSOS| MART MINAS;736
WERVENTON BOY BRUMADINHO | MOTOBOY;714
DIVERSOS| MOTOBOY ITABIRITO;714
DIVERSOS| ESTACIONAMENTO;722
ZANONI PROLABORE | PROLABORE;188
SOLDA| SOLDA;188
DIVERSOS| ESTACIONAMENTO;736
CADEIRA OLSEN - |0231 OSLEN;546
LOGISTICA;714
CRC LIGACOES;707
SUPER NOSSO BELO HORIZONTE| SUPERMERCADO;535
DIVERSOS| ALCOOL POSTO;768
DIVERSOS| LOGISTICA DIVINOPOLIS;714
LOGISTICA RONAN|0023 DIVERSOS;736
MAYPER;726
MAYPER (CONTABILIDADE );726
DIVERSOS| LOGISTICA RONAN;714
CRC ;707
CRC ELISE |0165 CRC LIGACOES;707
ZANONI PROLABORE ;188
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
